Year,Make,Model,FCCid,Frequency,Modulation,Exploit,ExploitSource,Chipset
2007,Jeep,Grand Cherokee,OHT692427AA / OHT692713AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Jeep,Grand Cherokee,OHT692713AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Jeep,Liberty,M3N5WY72XX,315,ASK,,,
2007,Jeep,Liberty,M3N5WY72XX / M3N65981772,315,ASK,,,
2007,Jeep,Patriot,OHT692713AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Jeep,Wrangler,OHT692713AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Lexus,ES350,HYQ14AAB,314.35,ASK,,,
2007,Lexus,GS300,HYQ14AAB,314.35,ASK,,,
2007,Lexus,GS350,HYQ14AAB,314.35,ASK,,,
2007,Lexus,GS430,HYQ14AAB,314.35,ASK,,,
2007,Lexus,GS450h,HYQ14AAB,314.35,ASK,,,
2007,Lexus,GS460,HYQ14AAB,314.35,ASK,,,
2007,Lexus,IS250,HYQ14AAB,314.35,ASK,,,
2007,Lexus,IS350,HYQ14AAB,314.35,ASK,,,
2007,Lexus,LS460,HYQ14AAB,314.35,ASK,,,
2007,Lexus,LS600h,HYQ14AAB,314.35,ASK,,,
2007,Mazda,3,KPU41794,315,FSK,,,
2007,Mazda,5,BGBX1T478SKE125-01,315,FSK,,,
2007,Mazda,6 Speed,BGBX1T458SKE11A01,315,FSK,,,
2007,Mazda,CX-7,BGBX1T458SKE11A01,315,FSK,,,
2007,Mazda,CX-7,BGBX1T478SKE125-01,315,FSK,,,
2007,Mazda,CX-9,BGBX1T458SKE11A01,315,FSK,,,
2007,Mazda,CX-9,BGBX1T478SKE125-01,315,FSK,,,
2007,Mazda,MX-5 Miata,BGBX1T478SKE125-01,315,FSK,,,
2007,Mazda,Speed 3,KPU41794,315,FSK,,,
2007,Nissan,Altima,KR55WK48903,315,ASK,,,
2007,Nissan,Armada,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2007,Nissan,Frontier,CWTWB1U821,315,ASK,,,
2007,Nissan,Maxima,CWTWBU735,315,FSK,,,
2007,Nissan,Murano,CWTWB1U821,315,ASK,,,
2007,Nissan,Murano,KBRTN001,315,FSK,,,
2007,Nissan,Pathfinder,CWTWB1U821,315,ASK,,,
2007,Nissan,Pathfinder,CWTWBU729,315,FSK,,,
2007,Nissan,Sentra,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2007,Nissan,Sentra,CWTWB1U821,315,ASK,,,
2007,Nissan,Sentra,CWTWBU735,315,FSK,,,
2007,Nissan,Sentra,KBRASTU15,315,ASK,,,
2007,Nissan,Titan,CWTWB1U821,315,ASK,,,
2007,Nissan,Versa,CWTWB1U821,315,ASK,,,
2007,Nissan,Versa,CWTWBU729,315,FSK,,,
2007,Nissan,X-Terra,CWTWB1U821,315,ASK,,,
2007,Scion,tC,MOZB41TG,312.5,ASK,,,
2007,Scion,xB,HYQ12BBX,314.35,ASK,,,
2007,Subaru,Forester,NHVWB1U711,433.92,ASK,Rolling code increments by 1,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-defeat-the-rolling-code-scheme-used-on-some-subaru-cars/,
2007,Subaru,Impreza,NHVWB1U711,433.92,ASK,Rolling code increments by 1,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-defeat-the-rolling-code-scheme-used-on-some-subaru-cars/,
2007,Subaru,Legacy,CWTWBU745,433.92,ASK,,,
2007,Subaru,Legacy,NHVWB1U711,433.92,ASK,Rolling code increments by 1,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-defeat-the-rolling-code-scheme-used-on-some-subaru-cars/,
2007,Subaru,Outback,NHVWB1U711,433.92,ASK,Rolling code increments by 1,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-defeat-the-rolling-code-scheme-used-on-some-subaru-cars/,
2007,Subaru,Tribeca,CWTWBU745,433.92,ASK,,,
2007,Subaru,Tribeca,NHVWB1U711,433.92,ASK,Rolling code increments by 1,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-defeat-the-rolling-code-scheme-used-on-some-subaru-cars/,
2007,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2007,Toyota,Avalon,GQ4-29T,315,ASK,,,
2007,Toyota,Avalon,GQ43VT20T,315,ASK,,,
2007,Toyota,Avalon,HYQ14AAB,314.35,ASK,,,
2007,Toyota,Camry,HYQ12BBY,314.35,ASK,,,
2007,Toyota,Camry,HYQ14AAB,314.35,ASK,,,
2007,Toyota,Corolla,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2007,Toyota,FJ Cruiser,HYQ12BAN,314.35,ASK,,,
2007,Toyota,FJ Cruiser,HYQ12BBX,314.35,ASK,,,
2007,Toyota,Highlander,HYQ12BAN,314.35,ASK,,,
2007,Toyota,Highlander,HYQ12BBX,314.35,ASK,,,
2007,Toyota,Matrix,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2007,Toyota,Prius,MOZB21EG,noRecord,XXX,,,
2007,Toyota,Prius,MOZB31EG,312.15,ASK,,,
2007,Toyota,RAV4,HYQ12BBY,314.35,ASK,,,
2007,Toyota,Sequoia,HYQ12BBX,314.35,ASK,,,
2007,Toyota,Sienna,GQ43VT20T,315,ASK,,,
2007,Toyota,Solara,GQ43VT20T,315,ASK,,,
2007,Toyota,Tacoma,GQ43VT20T,315,ASK,,,
2007,Toyota,Tundra,GQ43VT20T,315,ASK,,,
2007,Toyota,Yaris,HYQ12BBX,314.35,ASK,,,
2007,Toyota,Yaris,MOZB41TG,312.5,ASK,,,
2008,Acura,RL,ACJ8D8E24A04,311.9,FSK,,,
2008,Acura,TSX,OUCG8D-387H-A,313.85,FSK,,,
2008,Buick,Enclave,OUC60270 / OUC60221,315,ASK,,,
2008,Buick,LaCrosse,KOBGT04A,315,ASK,,,
2008,Buick,Lucerne,OUC60270 / OUC60221,315,ASK,,,
2008,Cadillac,CTS,M3N5WY7777A,315,ASK/FSK,,,
2008,Cadillac,CTS,OUC6000066 / OUC6000223,315,ASK,,,
2008,Cadillac,DTS,M3N5WY7777A,315,ASK/FSK,,,
2008,Cadillac,DTS,OUC6000066 / OUC6000223,315,ASK,,,
2008,Cadillac,Escalade,OUC6000223,315,ASK,,,
2008,Cadillac,Escalade,OUC60270 / OUC60221,315,ASK,,,
2008,Cadillac,SRX,OUC6000066 / OUC6000223,315,ASK,,,
2008,Cadillac,STS,M3N5WY7777A,315,ASK/FSK,,,
2008,Chevrolet,Avalanche,OUC60270 / OUC60221,315,ASK,,,
2008,Chevrolet,Cobalt,KOBGT04A,315,ASK,,,
